Title,Genre,Runtime,IMDB Score,Language,Release month,Release Day,Release Year
A Tale of Two Kitchens,Documentary,30,6.3,English/Spanish,May,22,2019
Alex Strangelove,Romantic comedy,99,6.3,English,June,8,2018
Apostle,Horror-thriller,129,6.3,English,October,12,2018
Benji,Family film,87,6.3,English,March,16,2018
Bright,Urban fantasy,117,6.3,English,December,22,2017
Cargo,Drama/Horror,104,6.3,English,May,18,2018
Concrete Cowboy,Drama,111,6.3,English,April,2,2021
Feel the Beat,Family/Comedy-drama,107,6.3,English,June,19,2020
Get the Goat,Comedy,97,6.3,Portuguese,March,18,2021
I Am Not an Easy Man,Romantic comedy,98,6.3,French,April,13,2018
June & Kopi,Drama,90,6.3,Indonesian,January,28,2021
Music Teacher,Drama,101,6.3,Hindi,April,19,2019
Nail Bomber: Manhunt,Documentary,72,6.3,English,May,26,2021
Notes for My Son,Drama,83,6.3,Spanish,November,24,2020
Polar,Action,118,6.3,English,January,25,2019
Porta dos Fundos: The Last Hangover,Comedy,44,6.3,Portuguese,December,21,2018
Sand Castle,War,113,6.3,English,April,21,2017
Shimmer Lake,Crime thriller,86,6.3,English,June,9,2017
Spectral,Science fiction/Action,108,6.3,English,December,9,2016
The Babysitter,Teen comedy horror,85,6.3,English,October,13,2017
The Discovery,Science fiction/Drama,102,6.3,English,March,31,2017
The Forest of Love,Drama,151,6.3,Japanese,October,11,2019
The Laundromat,Comedy-drama,98,6.3,English,October,18,2019
The Legend of Cocaine Island,Documentary,87,6.3,English,March,29,2019
The Outsider,Crime drama,120,6.3,English/Japanese,March,9,2018
Time to Hunt,Thriller,134,6.3,Korean,April,23,2020
To All the Boys: Always and Forever,Romantic comedy,109,6.3,English,February,12,2021
Travis Scott: Look Mom I Can Fly,Documentary,85,6.3,English,August,28,2019
Uncorked,Drama,103,6.3,English,March,27,2020
Anelka: Misunderstood,Documentary,94,6.4,French,August,5,2020
"Ariana Grande: Excuse Me, I Love You",Concert Film,97,6.4,English,December,21,2020
ARQ,Science fiction/Thriller,88,6.4,English,September,16,2016
Birders,Documentary,37,6.4,English/Spanish,September,25,2019
Como Caído del Cielo,Musical comedy,112,6.4,Spanish,December,24,2019
First Match,Sports-drama,102,6.4,English,March,30,2018
Fractured,Thriller,100,6.4,English,October,11,2019
Irreplaceable You,Drama,96,6.4,English,February,16,2018
Isi & Ossi,Romantic comedy,113,6.4,German,February,14,2020
John Was Trying to Contact Aliens,Documentary,16,6.4,English,August,20,2020
Layla Majnun,Romantic drama,119,6.4,Indonesian,February,11,2021
Murder to Mercy: The Cyntoia Brown Story,Documentary,97,6.4,English,April,29,2020
My Own Man,Documentary,81,6.4,English,December,13,2014
Nappily Ever After,Comedy-drama,98,6.4,English,September,21,2018
Over the Moon,Animation/Musical/Adventure,95,6.4,English,October,23,2020
Street Flow,Drama,96,6.4,French,October,12,2019
Sturgill Simpson Presents: Sound & Fury,Animation / Musicial,41,6.4,English,September,27,2019
Take Your Pills,Documentary,87,6.4,English,March,16,2018
The Heartbreak Club,Comedy-drama,101,6.4,Indonesian,January,14,2021
The Mars Generation,Documentary,97,6.4,English,May,5,2017
The Occupant,Thriller,103,6.4,Spanish,March,25,2020
The Willoughbys,Animation/Comedy/Adventure,90,6.4,English,April,22,2020
Triple Frontier,Action-thriller,125,6.4,English,March,13,2019
Two Catalonias,Documentary,116,6.4,Spanish/Catalan,September,28,2018
Walk. Ride. Rodeo.,Drama,99,6.4,English,March,8,2019
Wheelman,Action thriller,82,6.4,English,October,20,2017
When We First Met,Romantic comedy,97,6.4,English,February,9,2018
A 3 Minute Hug,Documentary,28,6.5,English/Spanish,October,28,2019
All the Bright Places,Romance,108,6.5,English,February,28,2020
All Together Now,Drama,93,6.5,English,August,28,2020
Altered Carbon: Resleeved,Anime/Science fiction,74,6.5,Japanese,March,19,2020
Antoine Griezmann: The Making of a Legend,Documentary,60,6.5,French,March,21,2019
Canvas ,Animation / Short,9,6.5,English,December,11,2020
